Year,Round,Current_position,Team,Season_points,Played_matches,Won_matches,Lost_matches,Sets_won,Sets_lost,Points_won,Points_lost,Sets_ratio,Points_ratio
2019,9,1,https://www.plusliga.pl/teams/id/1410/tour/2019.html,26,9,9,0,27,6,824,746,"4,5000","1,1046"
2019,9,2,https://www.plusliga.pl/teams/id/1403/tour/2019.html,22,9,8,1,25,10,814,752,"2,5000","1,0824"
2019,9,3,https://www.plusliga.pl/teams/id/1405/tour/2019.html,20,9,7,2,21,9,705,625,"2,3333","1,1280"
2019,9,4,https://www.plusliga.pl/teams/id/1407/tour/2019.html,19,9,6,3,22,14,827,779,"1,5714","1,0616"
2019,9,5,https://www.plusliga.pl/teams/id/1406/tour/2019.html,16,9,6,3,22,18,904,858,"1,2222","1,0536"
2019,9,6,https://www.plusliga.pl/teams/id/1411/tour/2019.html,14,9,5,4,20,18,874,875,"1,1111","0,9989"
2019,9,7,https://www.plusliga.pl/teams/id/30288/tour/2019.html,12,9,4,5,16,19,773,794,"0,8421","0,9736"
2019,9,8,https://www.plusliga.pl/teams/id/29741/tour/2019.html,12,9,3,6,20,23,927,932,"0,8696","0,9946"
2019,9,9,https://www.plusliga.pl/teams/id/26787/tour/2019.html,11,9,4,5,16,19,744,770,"0,8421","0,9662"
2019,9,10,https://www.plusliga.pl/teams/id/30289/tour/2019.html,10,9,4,5,14,21,780,782,"0,6667","0,9974"
2019,9,11,https://www.plusliga.pl/teams/id/1401/tour/2019.html,10,9,3,6,16,21,775,823,"0,7619","0,9417"
2019,9,12,https://www.plusliga.pl/teams/id/1545/tour/2019.html,10,9,3,6,15,21,770,809,"0,7143","0,9518"
2019,9,13,https://www.plusliga.pl/teams/id/1402/tour/2019.html,4,9,0,9,8,27,699,816,"0,2963","0,8566"
2019,9,14,https://www.plusliga.pl/teams/id/26783/tour/2019.html,3,9,1,8,10,26,800,855,"0,3846","0,9357"
2019,,1,https://www.plusliga.pl/teams/id/1410/tour/2019.html,26,9,9,0,27,6,824,746,"4,5000","1,1046"
2019,,2,https://www.plusliga.pl/teams/id/1403/tour/2019.html,22,9,8,1,25,10,814,752,"2,5000","1,0824"
2019,,3,https://www.plusliga.pl/teams/id/1405/tour/2019.html,20,9,7,2,21,9,705,625,"2,3333","1,1280"
2019,,4,https://www.plusliga.pl/teams/id/1407/tour/2019.html,19,9,6,3,22,14,827,779,"1,5714","1,0616"
2019,,5,https://www.plusliga.pl/teams/id/1406/tour/2019.html,16,9,6,3,22,18,904,858,"1,2222","1,0536"
2019,,6,https://www.plusliga.pl/teams/id/1411/tour/2019.html,14,9,5,4,20,18,874,875,"1,1111","0,9989"
2019,,7,https://www.plusliga.pl/teams/id/30288/tour/2019.html,12,9,4,5,16,19,773,794,"0,8421","0,9736"
2019,,8,https://www.plusliga.pl/teams/id/29741/tour/2019.html,12,9,3,6,20,23,927,932,"0,8696","0,9946"
2019,,9,https://www.plusliga.pl/teams/id/26787/tour/2019.html,11,9,4,5,16,19,744,770,"0,8421","0,9662"
2019,,10,https://www.plusliga.pl/teams/id/30289/tour/2019.html,10,9,4,5,14,21,780,782,"0,6667","0,9974"
2019,,11,https://www.plusliga.pl/teams/id/1401/tour/2019.html,10,9,3,6,16,21,775,823,"0,7619","0,9417"
2019,,12,https://www.plusliga.pl/teams/id/1545/tour/2019.html,10,9,3,6,15,21,770,809,"0,7143","0,9518"
2019,,13,https://www.plusliga.pl/teams/id/1402/tour/2019.html,4,9,0,9,8,27,699,816,"0,2963","0,8566"
2019,,14,https://www.plusliga.pl/teams/id/26783/tour/2019.html,3,9,1,8,10,26,800,855,"0,3846","0,9357"
2020,9,1,https://www.plusliga.pl/teams/id/1410/tour/2020.html,27,9,9,0,27,3,744,600,"9,0000","1,2400"
2020,9,2,https://www.plusliga.pl/teams/id/1403/tour/2020.html,19,9,7,2,24,16,909,841,"1,5000","1,0809"
2020,9,3,https://www.plusliga.pl/teams/id/30288/tour/2020.html,19,9,6,3,21,11,773,702,"1,9091","1,1011"
2020,9,4,https://www.plusliga.pl/teams/id/1405/tour/2020.html,18,9,6,3,22,12,799,741,"1,8333","1,0783"
2020,9,5,https://www.plusliga.pl/teams/id/1407/tour/2020.html,15,9,5,4,18,14,768,750,"1,2857","1,0240"
2020,9,6,https://www.plusliga.pl/teams/id/1411/tour/2020.html,15,9,5,4,18,16,783,748,"1,1250","1,0468"
2020,9,7,https://www.plusliga.pl/teams/id/1401/tour/2020.html,14,9,6,3,20,18,849,826,"1,1111","1,0278"
2020,9,8,https://www.plusliga.pl/teams/id/30289/tour/2020.html,14,9,5,4,17,15,744,742,"1,1333","1,0027"
2020,9,9,https://www.plusliga.pl/teams/id/1406/tour/2020.html,12,9,4,5,15,18,718,723,"0,8333","0,9931"
2020,9,10,https://www.plusliga.pl/teams/id/1545/tour/2020.html,12,9,4,5,16,21,779,836,"0,7619","0,9318"
2020,9,11,https://www.plusliga.pl/teams/id/29741/tour/2020.html,10,9,3,6,14,20,722,778,"0,7000","0,9280"
2020,9,12,https://www.plusliga.pl/teams/id/1304/tour/2020.html,7,9,1,8,11,25,734,837,"0,4400","0,8769"
2020,9,13,https://www.plusliga.pl/teams/id/26787/tour/2020.html,6,9,2,7,11,24,752,817,"0,4583","0,9204"
2020,9,14,https://www.plusliga.pl/teams/id/26783/tour/2020.html,1,9,0,9,6,27,664,797,"0,2222","0,8331"
2020,,1,https://www.plusliga.pl/teams/id/1410/tour/2020.html,27,9,9,0,27,3,744,600,"9,0000","1,2400"
2020,,2,https://www.plusliga.pl/teams/id/1403/tour/2020.html,19,9,7,2,24,16,909,841,"1,5000","1,0809"
2020,,3,https://www.plusliga.pl/teams/id/30288/tour/2020.html,19,9,6,3,21,11,773,702,"1,9091","1,1011"
2020,,4,https://www.plusliga.pl/teams/id/1405/tour/2020.html,18,9,6,3,22,12,799,741,"1,8333","1,0783"
2020,,5,https://www.plusliga.pl/teams/id/1407/tour/2020.html,15,9,5,4,18,14,768,750,"1,2857","1,0240"
2020,,6,https://www.plusliga.pl/teams/id/1411/tour/2020.html,15,9,5,4,18,16,783,748,"1,1250","1,0468"
2020,,7,https://www.plusliga.pl/teams/id/1401/tour/2020.html,14,9,6,3,20,18,849,826,"1,1111","1,0278"
2020,,8,https://www.plusliga.pl/teams/id/30289/tour/2020.html,14,9,5,4,17,15,744,742,"1,1333","1,0027"
2020,,9,https://www.plusliga.pl/teams/id/1406/tour/2020.html,12,9,4,5,15,18,718,723,"0,8333","0,9931"
2020,,10,https://www.plusliga.pl/teams/id/1545/tour/2020.html,12,9,4,5,16,21,779,836,"0,7619","0,9318"
2020,,11,https://www.plusliga.pl/teams/id/29741/tour/2020.html,10,9,3,6,14,20,722,778,"0,7000","0,9280"
2020,,12,https://www.plusliga.pl/teams/id/1304/tour/2020.html,7,9,1,8,11,25,734,837,"0,4400","0,8769"
2020,,13,https://www.plusliga.pl/teams/id/26787/tour/2020.html,6,9,2,7,11,24,752,817,"0,4583","0,9204"
2020,,14,https://www.plusliga.pl/teams/id/26783/tour/2020.html,1,9,0,9,6,27,664,797,"0,2222","0,8331"
2021,9,1,https://www.plusliga.pl/teams/id/1410/tour/2021.html,25,9,9,0,27,5,775,630,"5,4000","1,2302"
2021,9,2,https://www.plusliga.pl/teams/id/1405/tour/2021.html,23,9,7,2,25,8,790,672,"3,1250","1,1756"
2021,9,3,https://www.plusliga.pl/teams/id/1406/tour/2021.html,20,9,7,2,23,10,753,699,"2,3000","1,0773"
2021,9,4,https://www.plusliga.pl/teams/id/30288/tour/2021.html,19,9,7,2,21,13,770,761,"1,6154","1,0118"
2021,9,5,https://www.plusliga.pl/teams/id/1403/tour/2021.html,18,9,6,3,20,14,792,760,"1,4286","1,0421"
2021,9,6,https://www.plusliga.pl/teams/id/1407/tour/2021.html,17,9,6,3,23,16,864,823,"1,4375","1,0498"
2021,9,7,https://www.plusliga.pl/teams/id/1401/tour/2021.html,13,9,4,5,16,16,715,718,"1,0000","0,9958"
2021,9,8,https://www.plusliga.pl/teams/id/2100016/tour/2021.html,11,9,4,5,16,20,777,821,"0,8000","0,9464"
2021,9,9,https://www.plusliga.pl/teams/id/29741/tour/2021.html,10,9,4,5,14,20,725,784,"0,7000","0,9247"
2021,9,10,https://www.plusliga.pl/teams/id/26787/tour/2021.html,9,9,2,7,14,22,787,827,"0,6364","0,9516"
2021,9,11,https://www.plusliga.pl/teams/id/1545/tour/2021.html,8,9,3,6,10,22,706,783,"0,4545","0,9017"
2021,9,12,https://www.plusliga.pl/teams/id/1411/tour/2021.html,7,9,2,7,10,21,665,718,"0,4762","0,9262"
2021,9,13,https://www.plusliga.pl/teams/id/30289/tour/2021.html,6,9,2,7,9,22,704,750,"0,4091","0,9387"
2021,9,14,https://www.plusliga.pl/teams/id/1304/tour/2021.html,3,9,0,9,8,27,724,801,"0,2963","0,9039"
2021,,1,https://www.plusliga.pl/teams/id/1410/tour/2021.html,25,9,9,0,27,5,775,630,"5,4000","1,2302"
2021,,2,https://www.plusliga.pl/teams/id/1405/tour/2021.html,23,9,7,2,25,8,790,672,"3,1250","1,1756"
2021,,3,https://www.plusliga.pl/teams/id/1406/tour/2021.html,20,9,7,2,23,10,753,699,"2,3000","1,0773"
2021,,4,https://www.plusliga.pl/teams/id/30288/tour/2021.html,19,9,7,2,21,13,770,761,"1,6154","1,0118"
2021,,5,https://www.plusliga.pl/teams/id/1403/tour/2021.html,18,9,6,3,20,14,792,760,"1,4286","1,0421"
2021,,6,https://www.plusliga.pl/teams/id/1407/tour/2021.html,17,9,6,3,23,16,864,823,"1,4375","1,0498"
2021,,7,https://www.plusliga.pl/teams/id/1401/tour/2021.html,13,9,4,5,16,16,715,718,"1,0000","0,9958"
2021,,8,https://www.plusliga.pl/teams/id/2100016/tour/2021.html,11,9,4,5,16,20,777,821,"0,8000","0,9464"
2021,,9,https://www.plusliga.pl/teams/id/29741/tour/2021.html,10,9,4,5,14,20,725,784,"0,7000","0,9247"
2021,,10,https://www.plusliga.pl/teams/id/26787/tour/2021.html,9,9,2,7,14,22,787,827,"0,6364","0,9516"
2021,,11,https://www.plusliga.pl/teams/id/1545/tour/2021.html,8,9,3,6,10,22,706,783,"0,4545","0,9017"
2021,,12,https://www.plusliga.pl/teams/id/1411/tour/2021.html,7,9,2,7,10,21,665,718,"0,4762","0,9262"
2021,,13,https://www.plusliga.pl/teams/id/30289/tour/2021.html,6,9,2,7,9,22,704,750,"0,4091","0,9387"
2021,,14,https://www.plusliga.pl/teams/id/1304/tour/2021.html,3,9,0,9,8,27,724,801,"0,2963","0,9039"
